date,longIndexPosition,shortIndexPosition,longFuturePosition,shortFuturePosition,longCallPosition,longPutPosition,shortCallPosition,shortPutPosition
2020-01-01,65820,50978,959994,463652,162126,226473,59442,79978
2020-01-02,64503,53261,972264,464745,169106,228210,48060,81411
2020-01-03,61479,58713,982020,475101,179346,270074,73523,95257
2020-01-06,70074,74088,982209,483556,176063,281109,87093,96768
2020-01-07,75275,65554,986280,480848,189262,314411,91265,127003
2020-01-08,71168,75338,989858,476740,193216,305666,89892,144203
2020-01-09,78992,70965,993307,475626,186901,279644,66732,110857
2020-01-10,83447,72215,998596,485019,199592,298587,77623,122745
2020-01-13,84971,70733,1002062,489182,200816,314236,81021,131378
2020-01-14,85845,72390,1016848,499531,205805,334968,82581,137386
2020-01-15,81917,77228,1016725,511902,197591,343072,88889,131645
2020-01-16,80117,82056,1017250,516933,182005,296715,77592,104704
2020-01-17,80919,79939,1017874,525550,194531,318181,95521,111956
2020-01-20,92735,87034,1012380,536523,204456,349319,127043,116447
2020-01-21,98137,97283,1008352,548015,198125,350764,133042,125102
2020-01-22,102438,110551,1004676,574201,194171,369701,149339,123649
2020-01-23,100927,115465,1008809,575247,177162,331638,104306,111580
2020-01-24,98622,120301,1013150,578399,182665,345541,120380,126913
2020-01-27,90859,136708,1016400,590875,192674,355212,128234,134012
2020-01-28,91778,145443,1000564,592231,188846,364736,142680,132563
2020-01-29,96569,145131,1016093,596924,197210,367176,149269,143948
2020-01-30,20298,95740,867760,518085,115839,222172,72737,78418
2020-01-31,22566,123929,896066,572115,136987,246651,88006,92108
2020-02-01,34105,147945,910320,590286,148285,270945,129919,104842
2020-02-03,38761,146203,931422,604310,167034,290206,129786,105645
2020-02-04,36106,140114,952217,601481,189903,290209,118371,119055
2020-02-05,32645,142137,965321,609309,193546,299932,113814,129038
2020-02-06,31671,139947,970974,605264,166448,257156,84524,102719
2020-02-07,29974,142484,976653,605927,184327,276631,90735,120231
2020-02-10,28400,145288,979154,600844,185184,293382,87254,124592
2020-02-11,36610,137933,983152,593183,187114,300354,88127,121081
2020-02-12,38040,126444,984662,588180,193189,86675,308921,130749
2020-02-13,26508,132030,984544,581381,170898,82231,277877,105889
2020-02-14,25178,128694,972906,578039,176535,300032,96002,110997
2020-02-17,26766,123086,967073,583006,179127,304568,92701,108868
2020-02-18,34212,133218,962885,596513,176246,322828,97219,106430
2020-02-19,36755,125575,972984,593773,185141,327791,89863,109270
2020-02-20,30081,125954,975623,592648,156628,308322,79584,104249
2020-02-24,42979,150752,991570,623667,168918,343741,95277,120113
2020-02-25,58661,148351,981581,638484,171901,326362,95102,118675
2020-02-26,70795,174334,991817,669325,188366,344496,103286,123858
2020-02-27,26071,162106,811471,548630,118206,249788,52870,75141
2020-02-28,25870,182131,857083,560200,136274,285197,88096,94024
2020-03-02,35795,150826,867624,555876,170344,329945,92212,115873
2020-03-03,40315,151315,888852,543512,193114,354588,108299,131430
2020-03-04,36996,168508,900639,545346,214827,357342,114898,136173
2020-03-05,37241,174004,910086,537530,140121,315488,83497,116581
2020-03-06,35652,208785,924498,540643,162219,356140,110622,134131
2020-03-09,38422,208170,936239,532102,219437,385093,151051,150563
2020-03-11,49315,200114,953951,535006,227487,397352,154195,170454
2020-03-12,48244,200962,990873,539659,184345,375190,145214,173320
2020-03-13,46067,164886,999630,501479,220997,359703,162425,170654
2020-03-16,76458,183264,988630,507247,229450,360893,187530,171748
2020-03-17,80634,175092,995126,484823,231895,370549,182554,190975
2020-03-18,93160,183024,1016791,478466,241751,370839,190842,194568
2020-03-19,92277,181366,1025164,461879,178172,345156,170826,179027
2020-03-20,118564,170599,1018818,473515,210691,356833,179237,196797
2020-03-23,104841,145319,1008970,474314,207133,350542,188400,181789
2020-03-24,118361,104871,971597,460390,215099,358726,188173,190485
2020-03-25,122755,109005,956805,433157,226205,369228,183330,208220
2020-03-26,36000,85492,893030,400142,103796,139616,77666,85338
2020-03-27,31554,83545,902751,401136,117938,148728,86796,96136
2020-03-30,34073,99754,936295,392512,123135,158671,93154,98475
2020-03-31,40754,82993,955025,388505,130108,154160,90169,99086
2020-04-01,37805,100819,965511,397747,116202,150831,85129,84827
2020-04-03,38518,97001,976016,420187,128626,160559,91618,94030
2020-04-07,57972,77870,994550,421867,133862,161883,91162,114333
2020-04-08,52931,80538,985961,434629,133128,170603,98498,121823
2020-04-09,63410,80698,996629,430006,115383,151578,81560,98780
2020-04-13,55921,81677,999636,424280,122701,160143,87570,104246
2020-04-15,64287,70808,1004990,431022,133126,170643,99212,114747
2020-04-16,69002,68938,1015383,432441,113951,160604,87999,91578
2020-04-17,67820,67846,1011512,442442,126391,176436,95584,108787
2020-04-20,71053,67150,1005948,451119,126939,177342,98595,107992
2020-04-21,71249,85068,999892,462337,132751,180777,105726,112860
2020-04-22,74055,81601,1012392,465778,136683,177799,103771,120759
2020-04-23,70530,78431,1016091,473707,117319,160748,88112,101881
2020-04-24,68255,82197,1018595,480840,126181,174759,94979,108041
2020-04-27,80156,66429,1028555,498873,135300,184101,95665,117317
2020-04-28,88171,63627,1020546,477697,142992,190233,93793,131359
2020-04-29,85330,62573,1019478,463745,148346,199611,95668,137783
2020-04-30,69523,38385,1005085,426941,92875,147237,66315,92848
2020-05-04,59288,47692,998309,450479,102861,165828,83163,93922
2020-05-05,61337,47817,1002703,459659,102214,170810,89260,102425
2020-05-06,66554,43287,1018129,469675,116154,175269,91805,112097
2020-05-07,52783,53226,992466,501542,99869,162538,74599,89219
2020-05-08,52958,50102,993356,529890,109622,175463,80275,98384
2020-05-11,56272,41659,1005006,545572,113610,185056,88117,104473
2020-05-12,51577,51206,999340,542278,123651,191837,96933,111058
2020-05-13,40104,38107,1009993,532368,121597,185051,114733,114639
2020-05-14,32899,50427,999145,542573,99116,178231,93628,97139
2020-05-15,29909,58383,991262,544937,113410,189013,102629,101400
2020-05-18,28856,74326,989455,566473,123808,201607,123562,113640
2020-05-19,44661,49650,1013602,552116,149648,194625,124735,118165
2020-05-20,47933,49754,1028345,559809,146782,188752,120488,119096
2020-05-21,49685,60613,1048786,565993,119332,173675,101938,107716
2020-05-22,52799,81181,1058656,586238,142801,210152,121590,121343
2020-05-26,51946,73537,1045169,580583,139766,226505,122507,126337
2020-05-27,87496,78155,1051892,547257,163601,239200,112127,148247
2020-05-28,76558,44561,1035381,489277,125231,159482,78479,89255
2020-05-29,65349,43647,1054980,486850,145948,180042,92538,111673
2020-06-01,67563,48259,1056075,493466,165203,193456,117103,120861
2020-06-02,74019,49124,1055160,503443,183060,195654,121160,127992
2020-06-03,80182,47587,1053551,474462,192513,221436,131467,154182
2020-06-04,64985,49189,1048692,466042,161140,187404,105001,116680
2020-06-05,68341,58048,1056601,456064,205606,204726,136937,136061
2020-06-08,63469,59088,1063446,450362,216704,226696,148409,158822
2020-06-09,66043,56570,1075669,442566,220735,232520,158611,165912
2020-06-10,72461,56682,1070297,440346,228213,233876,157339,180112
2020-06-11,63993,62078,1063117,448685,192431,227880,139561,145319
2020-06-12,63778,66137,1063764,466318,209646,237425,153736,170857
2020-06-15,57903,65677,1047880,492278,211398,254793,162011,177337
2020-06-16,59176,64643,1054230,495149,219609,257625,170476,180889
2020-06-17,59533,60043,1067357,502209,214559,259255,179153,190471
2020-06-18,60064,55955,1072277,491198,194189,229784,147094,173514
2020-06-19,70540,55465,1081723,490772,218373,244948,169127,185418
2020-06-22,74527,56892,1061774,491247,225966,254358,179934,195258
2020-06-23,76547,62026,1020756,451792,229025,255311,175188,208696
2020-06-24,67580,68947,972532,410965,228208,274371,188410,216477
2020-06-25,39022,52938,895514,370837,104061,148003,86824,85224
2020-06-26,45645,63370,903006,373252,140020,173400,108290,110168
2020-06-29,31574,67478,899899,388301,153510,191828,134126,120046
2020-06-30,34855,65206,914987,397297,163173,211135,140150,126098
2020-07-01,39264,53672,915405,392855,158276,213247,145027,139369
2020-07-02,45179,48255,925976,396534,142498,182469,113297,119920
2020-07-03,50589,46889,925699,399500,153304,195218,119381,130171
2020-07-06,56993,45142,934776,399710,186013,214488,136307,155738
2020-07-07,52178,45138,932829,407388,192213,227342,139620,168648
2020-07-08,63696,42331,929382,417804,196710,249298,136590,182888
2020-07-09,78735,41242,918215,420945,157718,207011,104228,147852
2020-07-10,64829,48517,910228,432803,167303,252530,124624,163897
