date,longPosition,shortPosition
2020-01-01,162126,59442
2020-01-02,169106,48060
2020-01-03,179346,73523
2020-01-06,176063,87093
2020-01-07,189262,91265
2020-01-08,193216,89892
2020-01-09,186901,66732
2020-01-10,199592,77623
2020-01-13,200816,81021
2020-01-14,205805,82581
2020-01-15,197591,88889
2020-01-16,182005,77592
2020-01-17,194531,95521
2020-01-20,204456,127043
2020-01-21,198125,133042
2020-01-22,194171,149339
2020-01-23,177162,104306
2020-01-24,182665,120380
2020-01-27,192674,128234
2020-01-28,188846,142680
2020-01-29,197210,149269
2020-01-30,115839,72737
2020-01-31,136987,88006
2020-02-01,148285,129919
2020-02-03,167034,129786
2020-02-04,189903,118371
2020-02-05,193546,113814
2020-02-06,166448,84524
2020-02-07,184327,90735
2020-02-10,185184,87254
2020-02-11,187114,88127
2020-02-12,193189,308921
2020-02-13,170898,277877
2020-02-14,176535,96002
2020-02-17,179127,92701
2020-02-18,176246,97219
2020-02-19,185141,89863
2020-02-20,156628,79584
2020-02-24,168918,95277
2020-02-25,171901,95102
2020-02-26,188366,103286
2020-02-27,118206,52870
2020-02-28,136274,88096
2020-03-02,170344,92212
2020-03-03,193114,108299
2020-03-04,214827,114898
2020-03-05,140121,83497
2020-03-06,162219,110622
2020-03-09,219437,151051
2020-03-11,227487,154195
2020-03-12,184345,145214
2020-03-13,220997,162425
2020-03-16,229450,187530
2020-03-17,231895,182554
2020-03-18,241751,190842
2020-03-19,178172,170826
2020-03-20,210691,179237
2020-03-23,207133,188400
2020-03-24,215099,188173
2020-03-25,226205,183330
2020-03-26,103796,77666
2020-03-27,117938,86796
2020-03-30,123135,93154
2020-03-31,130108,90169
2020-04-01,116202,85129
2020-04-03,128626,91618
2020-04-07,133862,91162
2020-04-08,133128,98498
2020-04-09,115383,81560
2020-04-13,122701,87570
2020-04-15,133126,99212
2020-04-16,113951,87999
2020-04-17,126391,95584
2020-04-20,126939,98595
2020-04-21,132751,105726
2020-04-22,136683,103771
2020-04-23,117319,88112
2020-04-24,126181,94979
2020-04-27,135300,95665
2020-04-28,142992,93793
2020-04-29,148346,95668
2020-04-30,92875,66315
2020-05-04,102861,83163
2020-05-05,102214,89260
2020-05-06,116154,91805
2020-05-07,99869,74599
2020-05-08,109622,80275
2020-05-11,113610,88117
2020-05-12,123651,96933
2020-05-13,121597,114733
2020-05-14,99116,93628
2020-05-15,113410,102629
2020-05-18,123808,123562
2020-05-19,149648,124735
2020-05-20,146782,120488
2020-05-21,119332,101938
2020-05-22,142801,121590
2020-05-26,139766,122507
2020-05-27,163601,112127
2020-05-28,125231,78479
2020-05-29,145948,92538
2020-06-01,165203,117103
2020-06-02,183060,121160
2020-06-03,192513,131467
2020-06-04,161140,105001
2020-06-05,205606,136937
2020-06-08,216704,148409
2020-06-09,220735,158611
2020-06-10,228213,157339
2020-06-11,192431,139561
2020-06-12,209646,153736
2020-06-15,211398,162011
2020-06-16,219609,170476
2020-06-17,214559,179153
2020-06-18,194189,147094
2020-06-19,218373,169127
2020-06-22,225966,179934
2020-06-23,229025,175188
2020-06-24,228208,188410
2020-06-25,104061,86824
2020-06-26,140020,108290
2020-06-29,153510,134126
2020-06-30,163173,140150
2020-07-01,158276,145027
