date,longPosition,shortPosition,netBuy
2020-01-01,959994,463652,702.72
2020-01-02,972264,464745,702.72
2020-01-03,982020,475101,-17.26
2020-01-06,982209,483556,-475.85
2020-01-07,986280,480848,547.34
2020-01-08,989858,476740,548.4
2020-01-09,993307,475626,188.98
2020-01-10,998596,485019,-405.29
2020-01-13,1002062,489182,-93.89
2020-01-14,1016848,499531,321.68
2020-01-15,1016725,511902,-880.64
2020-01-16,1017250,516933,-215.91
2020-01-17,1017874,525550,-463.76
2020-01-20,1012380,536523,-646.84
2020-01-21,1008352,548015,-1017.97
2020-01-22,1004676,574201,-1738.58
2020-01-23,1008809,575247,-66.16
2020-01-24,1013150,578399,25.53
2020-01-27,1016400,590875,-481.53
2020-01-28,1000564,592231,-1011.41
2020-01-29,1016093,596924,890.86
2020-01-30,867760,518085,175.24
2020-01-31,896066,572115,-1259.46
2020-02-01,910320,590286,-86.73
2020-02-03,931422,604310,783.78
2020-02-04,952217,601481,1677.31
2020-02-05,965321,609309,481.79
2020-02-06,970974,605264,595.57
2020-02-07,976653,605927,273.44
2020-02-10,979154,600844,344
2020-02-11,983152,593183,578.91
2020-02-12,984662,588180,443.63
2020-02-13,984544,581381,522.8
2020-02-14,972906,578039,-513.3
2020-02-17,967073,583006,-611.16
2020-02-18,962885,596513,-1100.97
2020-02-19,972984,593773,767.95
2020-02-20,975623,592648,97.4
2020-02-24,991570,623667,-990.26
2020-02-25,981581,638484,-1553.14
2020-02-26,991817,669325,-1477.38
2020-02-27,811471,548630,726.32
2020-02-28,857083,560200,2117.97
2020-03-02,867624,555876,820.34
2020-03-03,888852,543512,2039.64
2020-03-04,900639,545346,582.65
2020-03-05,910086,537530,1038.23
2020-03-06,924498,540643,763.28
2020-03-09,936239,532102,593.07
2020-03-11,953951,535006,429.4
2020-03-12,990873,539659,867.96
2020-03-13,999630,501479,2100.82
2020-03-16,988630,507247,-1109.24
2020-03-17,995126,484823,1353.77
2020-03-18,1016791,478466,1247.36
2020-03-19,1025164,461879,1095.96
2020-03-20,1018818,473515,-1050.99
2020-03-23,1008970,474314,-762.58
2020-03-24,971597,460390,-1155.59
2020-03-25,956805,433157,547.09
2020-03-26,893030,400142,-256.23
2020-03-27,902751,401136,482.32
2020-03-30,936295,392512,2011.9
2020-03-31,955025,388505,1256.31
2020-04-01,965511,397747,-22.75
2020-04-03,976016,420187,-309.92
2020-04-07,994550,421867,648.77
2020-04-08,985961,434629,-1166.75
2020-04-09,996629,430006,497.39
2020-04-13,999636,424280,381.85
2020-04-15,1004990,431022,-195.06
2020-04-16,1015383,432441,643.74
2020-04-17,1011512,442442,-728.65
2020-04-20,1005948,451119,-465.77
2020-04-21,999892,462337,-683.51
2020-04-22,1012392,465778,576.75
2020-04-23,1016091,473707,-97.64
2020-04-24,1018595,480840,-105.42
2020-04-27,1028555,498873,-298.16
2020-04-28,1020546,477697,391
2020-04-29,1019478,463745,477.64
2020-04-30,1005085,426941,2342.49
2020-05-04,998309,450479,-1385.95
2020-05-05,1002703,459659,-175.41
2020-05-06,1018129,469675,235.94
2020-05-07,992466,501542,-2977.24
2020-05-08,993356,529890,-1530.39
2020-05-11,1005006,545572,-888.14
2020-05-12,999340,542278,-195.47
2020-05-13,1009993,532368,469.46
2020-05-14,999145,542573,-692.24
2020-05-15,991262,544937,-318.79
2020-05-18,989455,566473,-521.54
2020-05-19,1013602,552116,1792.08
2020-05-20,1028345,559809,156.45
2020-05-21,1048786,565993,490.28
2020-05-22,1058656,586238,-344.89
2020-05-26,1045169,580583,-1413.04
2020-05-27,1051892,547257,911.52
2020-05-28,1035381,489277,2122.95
2020-05-29,1054980,486850,1374.44
2020-06-01,1056075,493466,136.01
2020-06-02,1055160,503443,356.67
2020-06-03,1053551,474462,531.64
2020-06-04,1048692,466042,-1265.82
2020-06-05,1056601,456064,-345.09
2020-06-08,1063446,450362,-439.06
2020-06-09,1075669,442566,226.19
2020-06-10,1070297,440346,294.41
2020-06-11,1063117,448685,-923.2
2020-06-12,1063764,466318,-502
2020-06-15,1047880,492278,-355.02
2020-06-16,1054230,495149,113.95
2020-06-17,1067357,502209,266.02
2020-06-18,1072277,491198,172.1
2020-06-19,1081723,490772,511.13
2020-06-22,1061774,491247,75.53
2020-06-23,1020756,451792,-114.7
2020-06-24,972532,410965,-1050.99
2020-06-25,895514,370837,-1001.83
2020-06-26,903006,373252,-189.91
2020-06-29,899899,388301,-790.44
2020-06-30,914987,397297,491.09
2020-07-01,915405,392855,132.42
