date,longPosition,shortPosition,netBuy
2020-01-01,65820,50978,-235.17
2020-01-02,64503,53261,-235.17
2020-01-03,61479,58713,-845.74
2020-01-06,70074,74088,-976.67
2020-01-07,75275,65554,1391.65
2020-01-08,71168,75338,-1214.37
2020-01-09,78992,70965,1444.53
2020-01-10,83447,72215,308.28
2020-01-13,84971,70733,208.06
2020-01-14,85845,72390,-73.15
2020-01-15,81917,77228,-910.3
2020-01-16,80117,82056,-586.07
2020-01-17,80919,79939,130.15
2020-01-20,92735,87034,134.45
2020-01-21,98137,97283,-551.88
2020-01-22,102438,110551,-927.18
2020-01-23,100927,115465,-416.62
2020-01-24,98622,120301,-580.91
2020-01-27,90859,136708,-2269.16
2020-01-28,91778,145443,-540.79
2020-01-29,96569,145131,440.31
2020-01-30,20298,95740,-1534.23
2020-01-31,22566,123929,-2282.79
2020-02-01,34105,147945,-1409.75
2020-02-03,38761,146203,406.18
2020-02-04,36106,140114,680.36
2020-02-05,32645,142137,-320.31
2020-02-06,31671,139947,218.97
2020-02-07,29974,142484,-428.14
2020-02-10,28400,145288,-409.52
2020-02-11,36610,137933,1403.79
2020-02-12,38040,126444,1144.77
2020-02-13,26508,132030,-1235.28
2020-02-14,25178,128694,108.58
2020-02-17,26766,123086,519.74
2020-02-18,34212,133218,-459.58
2020-02-19,36755,125575,994.37
2020-02-20,30081,125954,-752.88
2020-02-24,42979,150752,-1238.14
2020-02-25,58661,148351,1470.07
2020-02-26,70795,174334,-1262.06
2020-02-27,26071,162106,-2200.55
2020-02-28,25870,182131,-1631.48
2020-03-02,35795,150826,3158.73
2020-03-03,40315,151315,241.11
2020-03-04,36996,168508,-1553.68
2020-03-05,37241,174004,-341.73
2020-03-06,35652,208785,-2982.29
2020-03-09,38422,208170,221.68
2020-03-11,49315,200114,1216.11
2020-03-12,48244,200962,-14.1
2020-03-13,46067,164886,2497.57
2020-03-16,76458,183264,654.49
2020-03-17,80634,175092,859.46
2020-03-18,93160,183024,299.92
2020-03-19,92277,181366,44.85
2020-03-20,118564,170599,2428.14
2020-03-23,104841,145319,736.67
2020-03-24,118361,104871,3197.15
2020-03-25,122755,109005,-45.27
2020-03-26,36000,85492,-360.43
2020-03-27,31554,83545,-29.19
2020-03-30,34073,99754,-967.08
2020-03-31,40754,82993,1506.2
2020-04-01,37805,100819,-1197.47
2020-04-03,38518,97001,278.56
2020-04-07,57972,77870,2368.3
2020-04-08,52931,80538,-413.11
2020-04-09,63410,80698,754.69
2020-04-13,55921,81677,-474.69
2020-04-15,64287,70808,1283.27
2020-04-16,69002,68938,360.64
2020-04-17,67820,67846,-6.56
2020-04-20,71053,67150,245.14
2020-04-21,71249,85068,-1070.57
2020-04-22,74055,81601,417.49
2020-04-23,70530,78431,138.57
2020-04-24,68255,82197,-455.99
2020-04-27,80156,66429,1548.49
2020-04-28,88171,63627,692.04
2020-04-29,85330,62573,-65.62
2020-04-30,69523,38385,-293.92
2020-05-04,59288,47692,-1605.79
2020-05-05,61337,47817,179.43
2020-05-06,66554,43287,510.97
2020-05-07,52783,53226,-1628.42
2020-05-08,52958,50102,328.77
2020-05-11,56272,41659,806.2
2020-05-12,51577,51206,-872.04
2020-05-13,40104,38107,-48.87
2020-05-14,32899,50427,-1328.39
2020-05-15,29909,58383,-619.86
2020-05-18,28856,74326,-803.13
2020-05-19,44661,49650,2331.69
2020-05-20,47933,49754,216.41
2020-05-21,49685,60613,-471.11
2020-05-22,52799,81181,-670.62
2020-05-26,51946,73537,188.9
2020-05-27,87496,78155,1664.34
2020-05-28,76558,44561,-353.58
2020-05-29,65349,43647,-631.14
2020-06-01,67563,48259,136.01
2020-06-02,74019,49124,356.67
2020-06-03,80182,47587,531.64
2020-06-04,64985,49189,-1265.82
2020-06-05,68341,58048,-345.09
2020-06-08,63469,59088,-439.06
2020-06-09,66043,56570,226.19
2020-06-10,72461,56682,294.41
2020-06-11,63993,62078,-923.2
2020-06-12,63778,66137,-502
2020-06-15,57903,65677,-355.02
2020-06-16,59176,64643,113.95
2020-06-17,59533,60043,266.02
2020-06-18,60064,55955,172.1
2020-06-19,70540,55465,511.13
2020-06-22,74527,56892,75.53
2020-06-23,76547,62026,-114.7
2020-06-24,67580,68947,-1050.99
2020-06-25,39022,52938,-1001.83
2020-06-26,45645,63370,-189.91
2020-06-29,31574,67478,-1241.9
2020-06-30,34855,65206,366.66
2020-07-01,39264,53672,1114.84
