date,longPosition,shortPosition
2020-01-01,226473,79978
2020-01-02,228210,81411
2020-01-03,270074,95257
2020-01-06,281109,96768
2020-01-07,314411,127003
2020-01-08,305666,144203
2020-01-09,279644,110857
2020-01-10,298587,122745
2020-01-13,314236,131378
2020-01-14,334968,137386
2020-01-15,343072,131645
2020-01-16,296715,104704
2020-01-17,318181,111956
2020-01-20,349319,116447
2020-01-21,350764,125102
2020-01-22,369701,123649
2020-01-23,331638,111580
2020-01-24,345541,126913
2020-01-27,355212,134012
2020-01-28,364736,132563
2020-01-29,367176,143948
2020-01-30,222172,78418
2020-01-31,246651,92108
2020-02-01,270945,104842
2020-02-03,290206,105645
2020-02-04,290209,119055
2020-02-05,299932,129038
2020-02-06,257156,102719
2020-02-07,276631,120231
2020-02-10,293382,124592
2020-02-11,300354,121081
2020-02-12,86675,130749
2020-02-13,82231,105889
2020-02-14,300032,110997
2020-02-17,304568,108868
2020-02-18,322828,106430
2020-02-19,327791,109270
2020-02-20,308322,104249
2020-02-24,343741,120113
2020-02-25,326362,118675
2020-02-26,344496,123858
2020-02-27,249788,75141
2020-02-28,285197,94024
2020-03-02,329945,115873
2020-03-03,354588,131430
2020-03-04,357342,136173
2020-03-05,315488,116581
2020-03-06,356140,134131
2020-03-09,385093,150563
2020-03-11,397352,170454
2020-03-12,375190,173320
2020-03-13,359703,170654
2020-03-16,360893,171748
2020-03-17,370549,190975
2020-03-18,370839,194568
2020-03-19,345156,179027
2020-03-20,356833,196797
2020-03-23,350542,181789
2020-03-24,358726,190485
2020-03-25,369228,208220
2020-03-26,139616,85338
2020-03-27,148728,96136
2020-03-30,158671,98475
2020-03-31,154160,99086
2020-04-01,150831,84827
2020-04-03,160559,94030
2020-04-07,161883,114333
2020-04-08,170603,121823
2020-04-09,151578,98780
2020-04-13,160143,104246
2020-04-15,170643,114747
2020-04-16,160604,91578
2020-04-17,176436,108787
2020-04-20,177342,107992
2020-04-21,180777,112860
2020-04-22,177799,120759
2020-04-23,160748,101881
2020-04-24,174759,108041
2020-04-27,184101,117317
2020-04-28,190233,131359
2020-04-29,199611,137783
2020-04-30,147237,92848
2020-05-04,165828,93922
2020-05-05,170810,102425
2020-05-06,175269,112097
2020-05-07,162538,89219
2020-05-08,175463,98384
2020-05-11,185056,104473
2020-05-12,191837,111058
2020-05-13,185051,114639
2020-05-14,178231,97139
2020-05-15,189013,101400
2020-05-18,201607,113640
2020-05-19,194625,118165
2020-05-20,188752,119096
2020-05-21,173675,107716
2020-05-22,210152,121343
2020-05-26,226505,126337
2020-05-27,239200,148247
2020-05-28,159482,89255
2020-05-29,180042,111673
2020-06-01,193456,120861
2020-06-02,195654,127992
2020-06-03,221436,154182
2020-06-04,187404,116680
2020-06-05,204726,136061
2020-06-08,226696,158822
2020-06-09,232520,165912
2020-06-10,233876,180112
2020-06-11,227880,145319
2020-06-12,237425,170857
2020-06-15,254793,177337
2020-06-16,257625,180889
2020-06-17,259255,190471
2020-06-18,229784,173514
2020-06-19,244948,185418
2020-06-22,254358,195258
2020-06-23,255311,208696
2020-06-24,274371,216477
2020-06-25,148003,85224
2020-06-26,173400,110168
2020-06-29,191828,120046
2020-06-30,211135,126098
2020-07-01,213247,139369
